itemid,username,snmpv3_contextname,inventory_link,multiplier,authtype,trends,snmpv3_authpassphrase,snmp_oid,templateid,snmpv3_securitylevel,port,lastns,password,logtimefmt,mtime,delay,publickey,state,params,snmpv3_securityname,formula,type,snmpv3_authprotocol,prevvalue,status,lastlogsize,lastclock,snmp_community,description,data_type,evaltype,trapper_hosts,lastvalue,units,value_type,delta,snmpv3_privprotocol,delay_flex,interfaceid,snmpv3_privpassphrase,hostid,key_,name,privatekey,lifetime,valuemapid,flags,error,ipmi_sensor,history
22891,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running the kernel and its processes.,0,0,,0,%,0,0,0,,0,,10075,"system.cpu.util[,system]",CPU $2 time,,30,0,0,,,7
22892,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that are not niced.,0,0,,0,%,0,0,0,,0,,10075,"system.cpu.util[,user]",CPU $2 time,,30,0,0,,,7
22665,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,0,0,,0,%,0,0,0,,0,,10001,"system.cpu.util[,steal]",CPU $2 time,,0,0,0,,,7
22668,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of time the CPU has been servicing software interrupts.,0,0,,0,%,0,0,0,,0,,10001,"system.cpu.util[,softirq]",CPU $2 time,,0,0,0,,,7
22671,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of time the CPU has been servicing hardware interrupts.,0,0,,0,%,0,0,0,,0,,10001,"system.cpu.util[,interrupt]",CPU $2 time,,0,0,0,,,7
23703,,,0,0,0,365,,,17354,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent doing nothing.,0,0,,0,%,0,0,0,,2,,10105,"system.cpu.util[,idle]",CPU $2 time,,0,0,0,,,7
23704,,,0,0,0,365,,,22671,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of time the CPU has been servicing hardware interrupts.,0,0,,0,%,0,0,0,,2,,10105,"system.cpu.util[,interrupt]",CPU $2 time,,0,0,0,,,7
23705,,,0,0,0,365,,,17362,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Amount of time the CPU has been waiting for I/O to complete.,0,0,,0,%,0,0,0,,2,,10105,"system.cpu.util[,iowait]",CPU $2 time,,0,0,0,,,7
23706,,,0,0,0,365,,,17358,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that have been niced.,0,0,,0,%,0,0,0,,2,,10105,"system.cpu.util[,nice]",CPU $2 time,,0,0,0,,,7
23707,,,0,0,0,365,,,22668,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of time the CPU has been servicing software interrupts.,0,0,,0,%,0,0,0,,2,,10105,"system.cpu.util[,softirq]",CPU $2 time,,0,0,0,,,7
23708,,,0,0,0,365,,,22665,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,0,0,,0,%,0,0,0,,2,,10105,"system.cpu.util[,steal]",CPU $2 time,,0,0,0,,,7
23709,,,0,0,0,365,,,17360,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running the kernel and its processes.,0,0,,0,%,0,0,0,,2,,10105,"system.cpu.util[,system]",CPU $2 time,,0,0,0,,,7
23710,,,0,0,0,365,,,17356,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that are not niced.,0,0,,0,%,0,0,0,,2,,10105,"system.cpu.util[,user]",CPU $2 time,,0,0,0,,,7
22965,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent doing nothing.,0,0,,0,%,0,0,0,,0,,10077,"system.cpu.util[,idle]",CPU $2 time,,30,0,0,,,7
22968,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that have been niced.,0,0,,0,%,0,0,0,,0,,10077,"system.cpu.util[,nice]",CPU $2 time,,30,0,0,,,7
22971,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running the kernel and its processes.,0,0,,0,%,0,0,0,,0,,10077,"system.cpu.util[,system]",CPU $2 time,,30,0,0,,,7
22972,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that are not niced.,0,0,,0,%,0,0,0,,0,,10077,"system.cpu.util[,user]",CPU $2 time,,30,0,0,,,7
17354,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent doing nothing.,0,0,,0,%,0,0,0,,0,,10001,"system.cpu.util[,idle]",CPU $2 time,,0,0,0,,,7
17356,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that are not niced.,0,0,,0,%,0,0,0,,0,,10001,"system.cpu.util[,user]",CPU $2 time,,0,0,0,,,7
17358,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that have been niced.,0,0,,0,%,0,0,0,,0,,10001,"system.cpu.util[,nice]",CPU $2 time,,0,0,0,,,7
17360,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running the kernel and its processes.,0,0,,0,%,0,0,0,,0,,10001,"system.cpu.util[,system]",CPU $2 time,,0,0,0,,,7
17362,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Amount of time the CPU has been waiting for I/O to complete.,0,0,,0,%,0,0,0,,0,,10001,"system.cpu.util[,iowait]",CPU $2 time,,0,0,0,,,7
23005,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent doing nothing.,0,0,,0,%,0,0,0,,0,,10078,"system.cpu.util[,idle]",CPU $2 time,,30,0,0,,,7
23007,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Amount of time the CPU has been waiting for I/O to complete.,0,0,,0,%,0,0,0,,0,,10078,"system.cpu.util[,iowait]",CPU $2 time,,30,0,0,,,7
23011,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running the kernel and its processes.,0,0,,0,%,0,0,0,,0,,10078,"system.cpu.util[,system]",CPU $2 time,,30,0,0,,,7
23012,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,The time the CPU has spent running users' processes that are not niced.,0,0,,0,%,0,0,0,,0,,10078,"system.cpu.util[,user]",CPU $2 time,,30,0,0,,,7
23108,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10076,"system.stat[cpu,app]",CPU available physical processors in the shared pool,,30,0,0,,,7
23109,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[cpu,ec]",CPU entitled capacity consumed,,30,0,0,,,7
23110,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10076,"system.stat[cpu,id]",CPU idle time,,30,0,0,,,7
23115,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10076,"system.stat[cpu,wa]",CPU iowait time,,30,0,0,,,7
23111,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10076,"system.stat[cpu,lbusy]",CPU logical processor utilization,,30,0,0,,,7
23112,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[cpu,pc]",CPU number of physical processors consumed,,30,0,0,,,7
23113,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10076,"system.stat[cpu,sy]",CPU system time,,30,0,0,,,7
23114,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10076,"system.stat[cpu,us]",CPU user time,,30,0,0,,,7
23298,,,0,0,0,365,,,22680,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,sps,3,1,0,,1,,10084,system.cpu.switches,Context switches per second,,0,0,0,,,7
22844,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,sps,3,1,0,,0,,10074,system.cpu.switches,Context switches per second,,30,0,0,,,7
22884,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,sps,3,1,0,,0,,10075,system.cpu.switches,Context switches per second,,30,0,0,,,7
22924,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,sps,3,1,0,,0,,10076,system.cpu.switches,Context switches per second,,30,0,0,,,7
23702,,,0,0,0,365,,,22680,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,sps,3,1,0,,2,,10105,system.cpu.switches,Context switches per second,,0,0,0,,,7
22680,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,sps,3,1,0,,0,,10001,system.cpu.switches,Context switches per second,,0,0,0,,,7
23004,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,sps,3,1,0,,0,,10078,system.cpu.switches,Context switches per second,,30,0,0,,,7
23120,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[faults,in]",Device interrupts,,30,0,0,,,7
23126,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[page,fi]",File page-ins per second,,30,0,0,,,7
23127,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[page,fo]",File page-outs per second,,30,0,0,,,7
23125,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,3,0,0,,0,,10076,"system.stat[memory,fre]",Free real memory,,30,0,0,,,7
23309,,,0,0,0,365,,,10014,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,B,3,0,0,,1,,10084,"system.swap.size[,free]",Free swap space,,0,0,0,,,7
10014,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,B,3,0,0,,0,,10001,"system.swap.size[,free]",Free swap space,,0,0,0,,,7
22855,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,B,3,0,0,,0,,10074,"system.swap.size[,free]",Free swap space,,30,0,0,,,7
23147,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,B,3,0,0,,0,,10081,"system.swap.size[,free]",Free swap space,,30,0,0,,,7
22895,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,B,3,0,0,,0,,10075,"system.swap.size[,free]",Free swap space,,30,0,0,,,7
23713,,,0,0,0,365,,,10014,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,B,3,0,0,,2,,10105,"system.swap.size[,free]",Free swap space,,0,0,0,,,7
23015,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,B,3,0,0,,0,,10078,"system.swap.size[,free]",Free swap space,,30,0,0,,,7
23310,,,0,0,0,365,,,17350,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,1,,10084,"system.swap.size[,pfree]",Free swap space in %,,0,0,0,,,7
22856,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10074,"system.swap.size[,pfree]",Free swap space in %,,30,0,0,,,7
22896,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10075,"system.swap.size[,pfree]",Free swap space in %,,30,0,0,,,7
23714,,,0,0,0,365,,,17350,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,2,,10105,"system.swap.size[,pfree]",Free swap space in %,,0,0,0,,,7
17350,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10001,"system.swap.size[,pfree]",Free swap space in %,,0,0,0,,,7
23016,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,%,0,0,0,,0,,10078,"system.swap.size[,pfree]",Free swap space in %,,30,0,0,,,7
22839,,,0,0,0,365,,,0,0,,0,,,0,600,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10074,system.boottime,Host boot time,,30,0,0,,,7
22879,,,0,0,0,365,,,0,0,,0,,,0,600,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10075,system.boottime,Host boot time,,30,0,0,,,7
23697,,,0,0,0,365,,,17318,0,,0,,,0,600,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,2,,10105,system.boottime,Host boot time,,0,0,0,,,7
17318,,,0,0,0,365,,,0,0,,0,,,0,600,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10001,system.boottime,Host boot time,,0,0,0,,,7
22999,,,0,0,0,365,,,0,0,,0,,,0,600,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10078,system.boottime,Host boot time,,30,0,0,,,7
23293,,,0,0,0,365,,,17318,0,,0,,,0,600,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,1,,10084,system.boottime,Host boot time,,0,0,0,,,7
23039,,,0,0,0,365,,,0,0,,0,,,0,600,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10079,system.boottime,Host boot time,,30,0,0,,,7
23308,,,0,0,0,365,,,17352,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,1,,10084,system.localtime,Host local time,,0,0,0,,,7
23054,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10079,system.localtime,Host local time,,30,0,0,,,7
22854,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10074,system.localtime,Host local time,,30,0,0,,,7
22894,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10075,system.localtime,Host local time,,30,0,0,,,7
22934,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10076,system.localtime,Host local time,,30,0,0,,,7
23712,,,0,0,0,365,,,17352,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,2,,10105,system.localtime,Host local time,,0,0,0,,,7
22974,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10077,system.localtime,Host local time,,30,0,0,,,7
17352,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10001,system.localtime,Host local time,,0,0,0,,,7
23014,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,unixtime,3,0,0,,0,,10078,system.localtime,Host local time,,30,0,0,,,7
23307,,,3,0,0,365,,,10057,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,1,,10084,system.hostname,Host name,,0,0,0,,,7
23053,,,3,0,0,365,,,0,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,0,,10079,system.hostname,Host name,,30,0,0,,,7
22853,,,3,0,0,365,,,0,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,0,,10074,system.hostname,Host name,,30,0,0,,,7
10057,,,3,0,0,365,,,0,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,0,,10001,system.hostname,Host name,,0,0,0,,,7
22893,,,3,0,0,365,,,0,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,0,,10075,system.hostname,Host name,,30,0,0,,,7
22933,,,3,0,0,365,,,0,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,0,,10076,system.hostname,Host name,,30,0,0,,,7
23711,,,3,0,0,365,,,10057,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,2,,10105,system.hostname,Host name,,0,0,0,,,7
22973,,,3,0,0,365,,,0,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,0,,10077,system.hostname,Host name,,30,0,0,,,7
23013,,,3,0,0,365,,,0,0,,0,,,0,3600,,0,,,1,0,0,0,0,0,0,,System host name.,0,0,,0,,1,0,0,,0,,10078,system.hostname,Host name,,30,0,0,,,7
22840,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,ips,3,1,0,,0,,10074,system.cpu.intr,Interrupts per second,,30,0,0,,,7
22880,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,ips,3,1,0,,0,,10075,system.cpu.intr,Interrupts per second,,30,0,0,,,7
22920,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,ips,3,1,0,,0,,10076,system.cpu.intr,Interrupts per second,,30,0,0,,,7
23698,,,0,0,0,365,,,22683,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,ips,3,1,0,,2,,10105,system.cpu.intr,Interrupts per second,,0,0,0,,,7
22683,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,ips,3,1,0,,0,,10001,system.cpu.intr,Interrupts per second,,0,0,0,,,7
23000,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,ips,3,1,0,,0,,10078,system.cpu.intr,Interrupts per second,,30,0,0,,,7
23294,,,0,0,0,365,,,22683,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,ips,3,1,0,,1,,10084,system.cpu.intr,Interrupts per second,,0,0,0,,,7
23119,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[faults,cs]",Kernel thread context switches,,30,0,0,,,7
23123,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[kthr,r]",Length of the run queue,,30,0,0,,,7
23122,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[kthr,b]",Length of the swap queue,,30,0,0,,,7
23314,,,0,0,0,365,,,10016,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,1,,10084,system.users.num,Number of logged in users,,0,0,0,,,7
23060,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,0,,10079,system.users.num,Number of logged in users,,30,0,0,,,7
10016,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,0,,10001,system.users.num,Number of logged in users,,0,0,0,,,7
22860,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,0,,10074,system.users.num,Number of logged in users,,30,0,0,,,7
22900,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,0,,10075,system.users.num,Number of logged in users,,30,0,0,,,7
22940,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,0,,10076,system.users.num,Number of logged in users,,30,0,0,,,7
23718,,,0,0,0,365,,,10016,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,2,,10105,system.users.num,Number of logged in users,,0,0,0,,,7
22980,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,0,,10077,system.users.num,Number of logged in users,,30,0,0,,,7
23020,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,Number of users who are currently logged in.,0,0,,0,,3,0,0,,0,,10078,system.users.num,Number of logged in users,,30,0,0,,,7
23117,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[disk,tps]",Number of transfers,,30,0,0,,,7
23128,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[page,fr]",Pages freed (page replacement),,30,0,0,,,7
23129,,,0,0,0,365,,,0,0,,0,,,0,60,,0,,,1,0,0,0,0,0,0,,,0,0,,0,,0,0,0,,0,,10076,"system.stat[page,pi]",Pages paged in from paging space,,30,0,0,,,7
